for_Parxts,AAPL,Date
-0.0011149285984647372,-0.0011149285984647372,2018-05-24
0.0011680128256259525,0.0011680128256259525,2018-05-25
-0.002442114191546385,-0.002442114191546385,2018-05-29
-0.0045657283477222865,-0.0045657283477222865,2018-05-30
-0.0012097462088331845,-0.007910434229085106,2018-05-31
0.0168024927586512,0.009980964158098127,2018-06-01
0.025300696802755374,0.01842215541716974,2018-06-04
0.03321103580434848,0.02627942550506157,2018-06-05
0.03679210863760263,0.02983647362267372,2018-06-06
0.03401284353835243,0.027075854068156158,2018-06-07
0.02460586041449786,0.017731980550032445,2018-06-08
0.02712408568736313,0.015236782131324178,2018-06-11
0.03276376444460194,0.02081119070915638,2018-06-12
0.024277355686394886,0.012422998435612786,2018-06-13
0.02481449438556993,0.012953920621264547,2018-06-14
0.014287017860306728,0.002548282645869593,2018-06-15
0.013749960010868367,0.0020174403742494462,2018-06-18
0.030401010298432896,-0.014174937760022766,2018-06-19
0.034895680521344064,-0.009874710462141612,2018-06-20
0.029124699028757473,-0.015396034812810933,2018-06-21
0.032129953791240284,-0.018262908063286232,2018-06-22
0.04771075843946737,-0.03286259955463611,2018-06-25
0.06070859106726245,-0.02086435485035021,2018-06-26
0.05915582260289831,-0.022297708897754953,2018-06-27
0.06686251024646372,-0.015183697904163629,2018-06-28
0.06461957436917953,-0.01725414259154401,2018-06-29
0.0765246000834996,-0.006264663359000555,2018-07-02
0.057775487777058876,-0.023571890177705668,2018-07-03
0.06628735630707094,-0.015714620089814058,2018-07-05
0.08106824406157354,-0.0020704446873810456,2018-07-06
0.09607907219136469,0.011785987709668877,2018-07-09
0.0947562383308378,0.010564885329278573,2018-07-10
0.10914863667484509,-0.002548282645870703,2018-07-11
0.12774465032425786,0.014175017674053159,2018-07-12
0.12951568965168891,0.015767704316975717,2018-07-13
0.127036216820688,0.013537927034077635,2018-07-16
0.13022403429227158,0.016404715042919626,2018-07-17
0.12402539072206431,0.010830306465088979,2018-07-18
0.11535554300961448,0.018687661794613453,2018-07-19
0.11791904139392906,0.016351710729789026,2018-07-20
0.11692721941186113,0.01725422250557429,2018-07-23
0.12502970591600238,0.024633654634976798,2018-07-24
0.13563891548815898,0.034296113430103636,2018-07-25
0.13208305258401865,0.031057570675462776,2018-07-26
0.11325479126443216,0.013909516624212026,2018-07-27
0.10701761773513208,0.008228939592056284,2018-07-30
0.10923264398868104,0.010246300052275004,2018-07-31
0.17457772599887456,0.0697600798577711,2018-08-01
0.2089115337693268,0.1010299874418823,2018-08-02
0.21240901753320363,0.10421536072772764,2018-08-03
0.21870456435315333,0.10994910190107632,2018-08-06
0.20727936298029137,0.09954346925328372,2018-08-07
0.2080954483748092,0.10028672834758301,2018-08-08
0.21759696348218016,0.10894034175693568,2018-08-09
0.21397023251348202,0.10563725510305111,2018-08-10
0.22180869087384236,0.11277622058480308,2018-08-13
0.22695637978441385,0.11746453705647197,2018-08-14
0.229822719526374,0.12007508871549577,2018-08-15
0.2478395400443656,0.13648411378850178,2018-08-16
0.272758863253423,0.15917967202706174,2018-08-17
0.2603577124054559,0.14788518224762415,2018-08-20
0.25790079294467527,0.1456475147860401,2018-08-21
0.2579593475733364,0.14570084408289818,2018-08-22
0.26053318910381495,0.14804499965493112,2018-08-23
0.26445242413360814,0.15161448772340913,2018-08-24
0.27486472402444706,0.16109760877719403,2018-08-27
0.28516001410138925,0.17047416180649866,2018-08-28
0.3043467397211106,0.1879486913134394,2018-08-29
0.3163384644382845,0.19887029156783442,2018-08-30
0.3315474939933636,0.21272208895107236,2018-08-31
0.33581768826948744,0.2166112171617658,2018-09-04
0.32710172942506777,0.20867305809143755,2018-09-05
0.30504875180758506,0.18858805683950486,2018-09-06
0.2945194304036223,0.1789983571060345,2018-09-07
0.3121291220062361,0.16317537358983825,2018-09-10
0.3453034816253544,0.19258375840228048,2018-09-11
0.3285961229772829,0.1777730299371918,2018-09-12
0.36068866871511407,0.20622240908135292,2018-09-13
0.3452433230928995,0.19253042910542306,2018-09-14
0.3094247105048089,0.16077796863497862,2018-09-17
0.3115882541295749,0.16269590538511136,2018-09-18
0.3123694736734173,0.1633884403799717,2018-09-19
0.3223458377603228,0.1722322811493251,2018-09-20
0.3081025389464973,0.15960589084896193,2018-09-21
0.32691328268687925,0.17628122676732572,2018-09-24
0.33532711753844846,0.18373991763292685,2018-09-25
0.32468967067730903,0.17431004063436628,2018-09-26
0.35191425527910414,0.19844407274593379,2018-09-27
0.3566620796455322,0.2026529210128749,2018-09-28
0.36579698151833284,0.21075082290408154,2018-10-01
0.3779368892300048,0.22151260042356768,2018-10-02
0.39470440040068855,0.23637665285791276,2018-10-03
0.3701842273003195,0.214640025701204,2018-10-04
0.34794773459432715,0.1949278340602829,2018-10-05
0.3448226821334974,0.1921575395803803,2018-10-08
0.36345314259150285,0.20867305809143755,2018-10-09
0.30028972449420066,0.15267999215734296,2018-10-10
0.28881089955676353,0.14250425086706464,2018-10-11
0.33484632405643566,0.18331370413862946,2018-10-12
0.3062995678963283,0.15800759424104482,2018-10-15
0.33508667572361683,0.18352677092876268,2018-10-16
0.32931727413632106,0.1784123155492252,2018-10-17
0.2982463957670074,0.15086862343169072,2018-10-18
0.318018744500947,0.16839640232145725,2018-10-19
