for_DCCxts,AAPL,Date
-0.0011149285984647372,-0.0011149285984647372,2018-05-24
0.0011680128256259525,0.0011680128256259525,2018-05-25
-0.002442114191546385,-0.002442114191546385,2018-05-29
-0.0045657283477222865,-0.0045657283477222865,2018-05-30
-0.007910434229085106,-0.007910434229085106,2018-05-31
0.009980964158098127,0.009980964158098127,2018-06-01
0.01842215541716974,0.01842215541716974,2018-06-04
0.02627942550506157,0.02627942550506157,2018-06-05
0.02983647362267372,0.02983647362267372,2018-06-06
0.027075854068156158,0.027075854068156158,2018-06-07
0.03650551438869054,0.017731980550032445,2018-06-08
0.03396428843734789,0.015236782131324178,2018-06-11
0.03964152501908136,0.02081119070915638,2018-06-12
0.031098600444203095,0.012422998435612786,2018-06-13
0.0316393162551003,0.012953920621264547,2018-06-14
0.021041731283465426,0.002548282645869593,2018-06-15
0.020501096860729096,0.0020174403742494462,2018-06-18
0.037263035950877654,-0.014174937760022766,2018-06-19
0.04178763873602498,-0.009874710462141612,2018-06-20
0.03597822499944181,-0.015396034812810933,2018-06-21
0.03296176521831451,-0.018262908063286232,2018-06-22
0.04855512670718132,-0.03286259955463611,2018-06-25
0.035706221595322774,-0.02086435485035021,2018-06-26
0.03419005403263631,-0.022297708897754953,2018-06-27
0.04171508438267946,-0.015183697904163629,2018-06-28
0.039525017608161184,-0.01725414259154401,2018-06-29
0.05114942539029044,-0.006264663359000555,2018-07-02
0.03284225560897314,-0.023571890177705668,2018-07-03
0.02459736980029903,-0.015714620089814058,2018-07-05
0.03880035047619046,-0.0020704446873810456,2018-07-06
0.024573955759074284,0.011785987709668877,2018-07-09
0.023337419859723152,0.010564885329278573,2018-07-10
0.03679089860802054,-0.002548282645870703,2018-07-11
0.05417376062000678,0.014175017674053159,2018-07-12
0.05582926232198093,0.015767704316975717,2018-07-13
0.058152080285620134,0.013537927034077635,2018-07-16
0.061145059250078626,0.016404715042919626,2018-07-17
0.06699693773331483,0.010830306465088979,2018-07-18
0.058766962648983734,0.018687661794613453,2018-07-19
0.056339105802809986,0.016351710729789026,2018-07-20
0.05727712604929014,0.01725422250557429,2018-07-23
0.0649468949438674,0.024633654634976798,2018-07-24
0.07498951402518106,0.034296113430103636,2018-07-25
0.07162355387435371,0.031057570675462776,2018-07-26
0.053800825884109615,0.013909516624212026,2018-07-27
0.059738164650050996,0.008228939592056284,2018-07-30
0.06185858967218416,0.010246300052275004,2018-07-31
0.12441285815805214,0.0697600798577711,2018-08-01
0.1572803083676948,0.1010299874418823,2018-08-02
0.1606284186104272,0.10421536072772764,2018-08-03
0.16665508984452337,0.10994910190107632,2018-08-06
0.1557178457215207,0.09954346925328372,2018-08-07
0.1549371421311334,0.10028672834758301,2018-08-08
0.16402057400630943,0.10894034175693568,2018-08-09
0.16055342552404217,0.10563725510305111,2018-08-10
0.1680469780488918,0.11277622058480308,2018-08-13
0.1729681596715471,0.11746453705647197,2018-08-14
0.1757083754669213,0.12007508871549577,2018-08-15
0.19293242446680048,0.13648411378850178,2018-08-16
0.21675525400367812,0.15917967202706174,2018-08-17
0.20489977541648918,0.14788518224762415,2018-08-20
0.20255096469602996,0.1456475147860401,2018-08-21
0.20260694281893032,0.14570084408289818,2018-08-22
0.20506753083414742,0.14804499965493112,2018-08-23
0.20881431268879225,0.15161448772340913,2018-08-24
0.21876845322885896,0.16109760877719403,2018-08-27
0.2286107325908664,0.17047416180649866,2018-08-28
0.24695320882807548,0.1879486913134394,2018-08-29
0.25841727674812875,0.19887029156783442,2018-08-30
0.27295708248331385,0.21272208895107236,2018-08-31
0.2770393807654947,0.2166112171617658,2018-09-04
0.2687069393079522,0.20867305809143755,2018-09-05
0.24762433115867033,0.18858805683950486,2018-09-06
0.2577722186802025,0.1789983571060345,2018-09-07
0.27488202820263496,0.16317537358983825,2018-09-10
0.30711467525407654,0.19258375840228048,2018-09-11
0.290881584377628,0.1777730299371918,2018-09-12
0.2604354748146793,0.20622240908135292,2018-09-13
0.24612811561443237,0.19253042910542306,2018-09-14
0.2802152837045424,0.16077796863497862,2018-09-17
0.28233056501332365,0.16269590538511136,2018-09-18
0.28309435783923576,0.1633884403799717,2018-09-19
0.2928481784884076,0.1722322811493251,2018-09-20
0.27892260591783913,0.15960589084896193,2018-09-21
0.26079219323933467,0.17628122676732572,2018-09-24
0.26878676035572036,0.18373991763292685,2018-09-25
0.25867938549293656,0.17431004063436628,2018-09-26
0.23333234644583833,0.19844407274593379,2018-09-27
0.23766371978811485,0.2026529210128749,2018-09-28
0.2459973621898719,0.21075082290408154,2018-10-01
0.2570724291219688,0.22151260042356768,2018-10-02
0.27236919355465616,0.23637665285791276,2018-10-03
0.24999978476482654,0.214640025701204,2018-10-04
0.2706204738190505,0.1949278340602829,2018-10-05
0.267674695183439,0.1921575395803803,2018-10-08
0.2852363883315361,0.20867305809143755,2018-10-09
0.22569644462965455,0.15267999215734296,2018-10-10
0.2366131391728039,0.14250425086706464,2018-10-11
0.28078409615591915,0.18331370413862946,2018-10-12
0.30877325896762153,0.15800759424104482,2018-10-15
0.33761487987395467,0.18352677092876268,2018-10-16
0.33183455298472664,0.1784123155492252,2018-10-17
0.30070483684474536,0.15086862343169072,2018-10-18
0.32051462774258344,0.16839640232145725,2018-10-19
